"Majority.protein.IDs","Protein.IDs","Peptide.counts..unique.","NObs_NoMineral","NObs_Mineral","Mean_NoMineral","Mean_Mineral","pvalue_Gtest_MvsNoM","pvalue_ANOVA_MvsNoM","Log2FC_MvsNoM","Flag_0.05_ANOVA_MvsNoM","Flag_0.05_Gtest_MvsNoM","Neg_Log10_pvalue"
"1209-14418_t_tx1;tr|A0A420QYQ0|A0A420QYQ0_FUSOX;tr|A0A2H3TJS0|A0A2H3TJS0_FUSOX","1209-14418_t_tx1;tr|A0A420QYQ0|A0A420QYQ0_FUSOX;tr|A0A2H3TJS0|A0A2H3TJS0_FUSOX;tr|K3V7Y4|K3V7Y4_FUSPC;tr|I1RRX5|I1RRX5_GIBZE","25;20;20;11;11",3,3,30.8997524509624,30.0076727543727,1,0.0114692956589613,-0.892079696589679,-1,0,1.94046325174292
"1209-14419_t_tx1;tr|A0A2C8CYD6|A0A2C8CYD6_FUSOX;tr|A0A420MMM1|A0A420MMM1_FUSOX;tr|A0A2H3T745|A0A2H3T745_FUSOX","1209-14419_t_tx1;tr|A0A2C8CYD6|A0A2C8CYD6_FUSOX;tr|A0A420MMM1|A0A420MMM1_FUSOX;tr|A0A2H3T745|A0A2H3T745_FUSOX;tr|A0A0M3RUK8|A0A0M3RUK8_FUSOX;tr|A0A0H3WIG7|A0A0H3WIG7_9HYPO;tr|A0A0H3WIG5|A0A0H3WIG5_FUSOX;tr|A0A1D8MJM4|A0A1D8MJM4_FUSOX;tr|A0A1C3YL34|A0A1C3YL34_GIBZE;tr|K3V4Y1|K3V4Y1_FUSPC","8;5;4;4;2;2;2;2;2;2",3,1,NA,NA,0.05067190234699,NA,NA,0,0,NA
"1209-1703_t_tx1;tr|A0A2H3TLA8|A0A2H3TLA8_FUSOX;tr|V6R3J1|V6R3J1_GIBZE;tr|K3VMV2|K3VMV2_FUSPC","1209-1703_t_tx1;tr|A0A2H3TLA8|A0A2H3TLA8_FUSOX;tr|V6R3J1|V6R3J1_GIBZE;tr|K3VMV2|K3VMV2_FUSPC","55;36;31;28",3,3,34.723562881227,35.5393807335184,1,0.0703581340412211,0.815817852291424,0,0,1.15268568692843
"1209-1704_t_tx1;tr|A0A420U5B9|A0A420U5B9_FUSOX;tr|A0A2H3TLK7|A0A2H3TLK7_FUSOX","1209-1704_t_tx1;tr|A0A420U5B9|A0A420U5B9_FUSOX;tr|A0A2H3TLK7|A0A2H3TLK7_FUSOX;tr|I1RKB5|I1RKB5_GIBZE;tr|K3VKH1|K3VKH1_FUSPC","34;25;25;16;15",3,3,27.293811080862,28.7168020895222,1,0.00441615266917582,1.42299100866021,1,0,2.35495592118589
"1209-1706_t_tx1;tr|A0A2H3TP46|A0A2H3TP46_FUSOX;tr|I1RKB7|I1RKB7_GIBZE","1209-1706_t_tx1;tr|A0A2H3TP46|A0A2H3TP46_FUSOX;tr|I1RKB7|I1RKB7_GIBZE;tr|K3URG9|K3URG9_FUSPC","21;12;11;9",3,3,30.9169519418075,30.2123405200778,1,0.0453957671339773,-0.704611421729712,-1,0,1.34298464044816
"1209-1713_t_tx1;tr|A0A420QEV2|A0A420QEV2_FUSOX;tr|A0A420MPM1|A0A420MPM1_FUSOX;tr|A0A2H3U5V9|A0A2H3U5V9_FUSOX;tr|A0A1C3YNC3|A0A1C3YNC3_GIBZE;tr|K3VAJ1|K3VAJ1_FUSPC","1209-1713_t_tx1;tr|A0A420QEV2|A0A420QEV2_FUSOX;tr|A0A420MPM1|A0A420MPM1_FUSOX;tr|A0A2H3U5V9|A0A2H3U5V9_FUSOX;tr|A0A1C3YNC3|A0A1C3YNC3_GIBZE;tr|K3VAJ1|K3VAJ1_FUSPC","3;2;2;2;2;2",3,0,NA,NA,0.0039259170936033,NA,NA,0,-1,NA
"1211-16350_t_tx1;tr|A0A420T4I3|A0A420T4I3_FUSOX;tr|A0A420NEA6|A0A420NEA6_FUSOX;tr|A0A2H3TFS0|A0A2H3TFS0_FUSOX","1211-16350_t_tx1;tr|A0A420T4I3|A0A420T4I3_FUSOX;tr|A0A420NEA6|A0A420NEA6_FUSOX;tr|A0A2H3TFS0|A0A2H3TFS0_FUSOX;tr|K3W083|K3W083_FUSPC;tr|A0A1C3YJW4|A0A1C3YJW4_GIBZE","33;22;22;21;13;12",3,3,28.8739690691738,27.5828132935825,1,0.236040063777706,-1.29115577559126,0,0,0.627014276687241
"1211-5857_t_tx1;tr|A0A2H3SNJ7|A0A2H3SNJ7_FUSOX;tr|A0A420RZT6|A0A420RZT6_FUSOX","1211-5857_t_tx1;tr|A0A2H3SNJ7|A0A2H3SNJ7_FUSOX;tr|A0A420RZT6|A0A420RZT6_FUSOX;tr|K3VVN5|K3VVN5_FUSPC;tr|A0A1C3YJQ3|A0A1C3YJQ3_GIBZE","6;4;4;1;1",3,1,NA,NA,0.05067190234699,NA,NA,0,0,NA
"1211-5860_t_tx1","1211-5860_t_tx1;tr|A0A2H3SXC0|A0A2H3SXC0_FUSOX;tr|K3V0D7|K3V0D7_FUSPC;tr|I1S0X2|I1S0X2_GIBZE","9;3;1;1",3,3,26.6608249048869,23.9142922921077,1,0.119519591750693,-2.74653261277918,0,0,0.922560898968469
"1211-5861_t_tx1;tr|A0A420NHU9|A0A420NHU9_FUSOX;tr|A0A2H3T013|A0A2H3T013_FUSOX;tr|A0A420U9Q5|A0A420U9Q5_FUSOX;tr|A0A420P1V0|A0A420P1V0_FUSOX","1211-5861_t_tx1;tr|A0A420NHU9|A0A420NHU9_FUSOX;tr|A0A2H3T013|A0A2H3T013_FUSOX;tr|A0A420U9Q5|A0A420U9Q5_FUSOX;tr|A0A420P1V0|A0A420P1V0_FUSOX;tr|K3VSE1|K3VSE1_FUSPC;tr|I1S0X1|I1S0X1_GIBZE","18;10;10;9;9;5;5",3,1,NA,NA,0.05067190234699,NA,NA,0,0,NA
