"Majority.protein.IDs","no_mineral_MPLEx_01","no_mineral_MPLEx_02","no_mineral_MPLEx_03","mineral_MPLEx_01","mineral_MPLEx_02","mineral_MPLEx_03"
"1015-9287_t_tx1;tr|A0A420PS60|A0A420PS60_FUSOX;tr|A0A420SD55|A0A420SD55_FUSOX;tr|A0A420NT23|A0A420NT23_FUSOX;tr|A0A2H3T9G2|A0A2H3T9G2_FUSOX;tr|K3V6X8|K3V6X8_FUSPC;tr|A0A098E4P3|A0A098E4P3_GIBZE",24.4175059081979,25.0321979354798,23.9191221271812,27.0133942928661,27.252451880739,25.9131733147351
"1016-10770_t_tx1",26.398447259621,26.3422376944401,26.1957033536204,26.8645175826744,24.6946360189636,26.5471817040051
"1017-1611_t_tx1;tr|A0A420Q648|A0A420Q648_FUSOX;tr|A0A420PPP2|A0A420PPP2_FUSOX;tr|A0A420NGX5|A0A420NGX5_FUSOX;tr|A0A2H3TP43|A0A2H3TP43_FUSOX",29.5452425199644,25.1005019323286,30.1963026621668,26.4825781591145,24.0449082549873,30.4693210467342
"1017-1612_t_tx1",26.3846781248788,26.3949060992771,25.9042454887241,27.3534905994675,27.6893783456803,26.2839214423624
"tr|A0A420MNT2|A0A420MNT2_FUSOX;1018-10131_t_tx1;tr|K3VDG8|K3VDG8_FUSPC;tr|A0A420PZ07|A0A420PZ07_FUSOX;tr|A0A2H3TD19|A0A2H3TD19_FUSOX;tr|A0A0E0S0X2|A0A0E0S0X2_GIBZE",24.3938880726301,24.0529147562529,22.4430333240645,NA,NA,NA
"tr|K3VZB1|K3VZB1_FUSPC;tr|A0A0E0S0W9|A0A0E0S0W9_GIBZE;1018-10133_t_tx1;tr|A0A2H3TPB7|A0A2H3TPB7_FUSOX;tr|A0A420MNZ2|A0A420MNZ2_FUSOX;tr|A0A420MNV7|A0A420MNV7_FUSOX",27.1486268071947,27.6763201076484,27.8645887765955,28.1336885265838,26.5347193373491,27.2366670615546
"1018-10136_t_tx1;tr|K3VDG5|K3VDG5_FUSPC;tr|I1RWP9|I1RWP9_GIBZE;tr|A0A420SAG4|A0A420SAG4_FUSOX;tr|A0A420PYZ5|A0A420PYZ5_FUSOX;tr|A0A2H3TD16|A0A2H3TD16_FUSOX",22.3501202028871,23.8440778388755,NA,24.1737038407671,25.131303534214,23.6383393685726
"1018-10142_t_tx1;tr|A0A420MNY4|A0A420MNY4_FUSOX;tr|A0A2H3TXF9|A0A2H3TXF9_FUSOX",33.2789417731747,33.8231156452926,33.2412201517231,33.5430441756313,33.7355670071052,33.2480332942046
"1018-10143_t_tx1",25.6681788925154,26.6872309774197,24.6446223376319,23.5961904080518,NA,23.4295985495249
"1018-5312_t_tx1",23.6803050984054,23.5182195735123,NA,NA,22.8302217805499,24.1877464863783
