"Majority.protein.IDs","SampleID","value","Group","Protein"
"1005-1583_t_tx1","no_mineral_MPLEx_01",27.6951075011224,"No Mineral","1005-1583_t_tx1"
"1005-1583_t_tx1","no_mineral_MPLEx_02",28.3858268321291,"No Mineral","1005-1583_t_tx1"
"1005-1583_t_tx1","no_mineral_MPLEx_03",27.4389230483476,"No Mineral","1005-1583_t_tx1"
"1005-1583_t_tx1","mineral_MPLEx_01",26.3344927593587,"Mineral","1005-1583_t_tx1"
"1005-1583_t_tx1","mineral_MPLEx_02",25.5963165542009,"Mineral","1005-1583_t_tx1"
"1005-1583_t_tx1","mineral_MPLEx_03",26.7580012888591,"Mineral","1005-1583_t_tx1"
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","no_mineral_MPLEx_01",28.0261454909976,"No Mineral","1005-1584_t_tx1"
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","no_mineral_MPLEx_02",27.4648270170615,"No Mineral","1005-1584_t_tx1"
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","no_mineral_MPLEx_03",28.5130071353779,"No Mineral","1005-1584_t_tx1"
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","mineral_MPLEx_01",26.1046768400514,"Mineral","1005-1584_t_tx1"
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","mineral_MPLEx_02",26.3455235177503,"Mineral","1005-1584_t_tx1"
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","mineral_MPLEx_03",27.5011329492729,"Mineral","1005-1584_t_tx1"
